"country","event","window","n_days","acute_soundings","NIRvR_pct","A_SIF_pct","A_PhiF_residual_pct","A_PhiF_direct_pct","B_SIF_pct","B_PhiF_residual_pct","B_PhiF_direct_pct","Diff_SIF_pp","Diff_PhiF_residual_pp","Diff_PhiF_direct_pp","SIF_sign_changed","PhiF_sign_changed"
"Madagascar","Diane_2020","recov2",7,NA,1.21385436355187,-9.12915400988484,-10.218965020624,-8.00659821149867,-9.10890794003097,-10.1989617612074,-7.88748827391534,0.0202460698538687,0.0200032594165904,0.11910993758333,"no","no"
"Madagascar","Diane_2020","recov3",7,NA,-17.1292551769263,-10.0111911007589,8.58935694540235,2.70019212779126,-7.1539431369428,12.0371936577624,5.42657023690479,2.85724796381612,3.44783671236002,2.72637810911353,"no","no"
"Madagascar","Eliakim_2018","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eliakim_2018","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Francisco_2020","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Madagascar","Francisco_2020","pre7",6,NA,-5.03873736429379,11.3104259605238,17.2166659025342,16.6183487621557,12.7483276792287,18.7308640911377,17.4620562884375,1.43790171870495,1.51419818860357,0.84370752628185,"no","no"
"Madagascar","Francisco_2020","acute",4,320,-40.4536060880385,-28.3417180792197,20.3402544018468,6.84476686325664,-27.9122245040676,21.0615299433802,7.22537608908466,0.429493575152108,0.721275541533405,0.380609225828024,"no","no"
"Madagascar","Francisco_2020","early",6,NA,1.19357908619825,-6.4349982510484,-7.53859820567122,-13.3998177803401,-5.52262761690988,-6.63698899056348,-14.0666351180582,0.912370634138517,0.901609215107745,-0.666817337718125,"no","no"
"Madagascar","Francisco_2020","recov2",6,NA,2.93738991732114,3.22456749523949,0.278982766270852,-1.58337787351032,0.97651502519844,-1.90491996513381,-2.93200838415297,-2.24805247004105,-2.18390273140466,-1.34863051064264,"no","YES"
"Madagascar","Francisco_2020","recov3",4,NA,-13.2321468752657,-14.5342542211058,-1.5006794555216,-0.0625731189062997,-16.0761184171112,-3.27767881701202,-1.43082077640375,-1.54186419600547,-1.77699936149042,-1.36824765749745,"no","no"
"Madagascar","Iman_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","Iman_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi","Idai_2019","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Malawi","Idai_2019","pre7",4,NA,-12.5980997408161,-16.6738221014407,-4.66319650778567,-0.357516061996305,-13.3797752782645,-0.894346158527914,2.1632050424439,3.29404682317617,3.76885034925776,2.5207211044402,"no","no"
"Malawi","Idai_2019","acute",4,1424,-5.83399855488099,-2.96345887334239,3.04838225844344,2.9947040038644,-0.186252701946135,5.99764858469267,5.20469987800932,2.77720617139626,2.94926632624923,2.20999587414492,"no","no"
"Malawi","Idai_2019","early",5,NA,-11.038847241708,-8.26526415746383,3.11774634011324,7.09152583040636,-7.16995784664613,4.34896499775996,7.73246955136875,1.0953063108177,1.23121865764673,0.640943720962384,"no","no"
"Malawi","Idai_2019","recov2",4,NA,-17.5835059469233,-26.3230880527368,-10.6041663215923,-6.29509433128486,-24.2702828516425,-8.11339645242965,-5.30871769900192,2.05280520109424,2.49076986916265,0.986376632282938,"no","no"
"Malawi","Idai_2019","recov3",5,NA,-15.8863778909985,-34.9063227972989,-22.6122052878102,-16.167177836766,-30.6886290808121,-17.5979238780511,-12.5265909846984,4.21769371648671,5.01428140975914,3.64058685206763,"no","no"
"Mozambique","Chalane_2020","baseline",7,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Mozambique","Chalane_2020","pre7",6,NA,36.3591153741094,21.7991555817368,-10.6776578539884,-14.0634362126534,15.8753808656719,-15.0219033412172,-18.8634075022252,-5.92377471606484,-4.34424548722878,-4.79997128957173,"no","no"
"Mozambique","Chalane_2020","acute",2,170,-22.777322299343,-16.7460831958868,7.81019162121721,10.3825615584629,-17.323854591484,7.06200286009069,7.41712878011911,-0.577771395597264,-0.748188761126523,-2.96543277834379,"no","no"
"Mozambique","Chalane_2020","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Chalane_2020","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Chalane_2020","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Desmond_2019","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Mozambique","Desmond_2019","pre7",7,NA,36.0887347718142,68.2051210399101,23.5995920764102,151.209999277319,64.0510468615346,20.5471173911684,136.273581412508,-4.15407417837548,-3.05247468524182,-14.9364178648111,"no","no"
"Mozambique","Desmond_2019","acute",6,602,14.5402684098425,35.5186496761743,18.3152890748151,139.023496835235,39.0679639678856,21.4140370880564,130.769786591525,3.54931429171131,3.09874801324137,-8.25371024371051,"no","no"
"Mozambique","Desmond_2019","early",7,NA,27.9635478720551,43.7647059827587,12.348171313992,132.1444602567,42.7619633631656,11.5645554825556,119.139269765317,-1.00274261959311,-0.783615831436379,-13.0051904913833,"no","no"
"Mozambique","Desmond_2019","recov2",7,NA,29.5184515853504,41.9974359164124,9.63490852331454,133.348772083894,41.6225002549905,9.34542416272155,120.699433063974,-0.374935661421816,-0.289484360592995,-12.6493390199197,"no","no"
