"window","days","clim_n","sif","sif_clim","sif_anom","lo","hi","nirvr_anom","phif_anom"
"baseline",6,22,0.404190613871028,0.28431923459215,0.116503279267352,0.0176374606149787,0.214384271146548,6.68476189424042,0.00157393843209072
"pre7",6,23,0.529330047459792,0.356477907719637,0.17400179245344,0.0932805244035229,0.256654484665804,11.4329673213436,0.00164432161748979
"acute",2,14,0.376860945544094,0.395013017521262,-0.00549019559372346,-0.100266858310916,0.0892864671234686,0.4074741867645,-5.39375063241684e-05
"early",0,9,NA,0.399710976155223,NA,NA,NA,NA,NA
"recov2",0,9,NA,0.41134263659585,NA,NA,NA,NA,NA
"recov3",0,8,NA,0.409669970840108,NA,NA,NA,NA,NA
