"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"BOTSWANA_CHALANE_2020","baseline","sif",670,0.16659,0,-0.00099,50.3,-0.83019,0.84228
"BOTSWANA_CHALANE_2020","baseline","nirvr",670,9.06941,0,-1.12498,53.3,-44.24268,35.78483
"BOTSWANA_CHALANE_2020","baseline","phif",670,0.00376,0,4e-05,49.7,-0.02777,0.02336
"BOTSWANA_CHALANE_2020","pre7","sif",1578,0.00867,-0.15792,-0.16147,81.6,-0.93546,0.5917
"BOTSWANA_CHALANE_2020","pre7","nirvr",1578,2.06535,-7.00405,-7.79274,77.1,-36.85464,27.78393
"BOTSWANA_CHALANE_2020","pre7","phif",1578,-0.00028,-0.00404,-0.00389,87.5,-0.03179,0.01413
"BOTSWANA_CHALANE_2020","acute","sif",4,-0.24482,-0.41141,-0.38283,100,-0.5737,-0.30629
"BOTSWANA_CHALANE_2020","acute","nirvr",4,-18.26342,-27.33283,-26.7227,100,-38.15042,-17.73548
"BOTSWANA_CHALANE_2020","acute","phif",4,-0.00356,-0.00732,-0.00637,100,-0.01118,-0.00535
