"window","rel","days","sif","sif_clim","sif_anom","sif_anom_lo","sif_anom_hi","nirvr_anom","phif_anom"
"baseline","-14..-8",5,0.322060087004937,0.337960018038652,0.0676197767021629,-0.0211055929529735,0.145188967819531,5.36295718425842,0.000688420434536876
"pre7","-7..-1",6,0.251542046358093,0.381233254565559,-0.128276202630786,-0.221221045484779,-0.0354821966976398,-7.41087577182778,-0.00148668725143166
"acute","0..6",3,0.191744733871212,0.411572405723093,-0.27070048705654,-0.482063461004654,-0.148866213908843,-14.5978638759523,-0.00354960360922736
"early","7..13",3,0.273379368440169,0.270068234061838,-0.00195686048472532,NA,NA,-0.6340959002098,0.00012098568828793
"recov2","14..20",5,0.236051828570994,0.21984134785664,0.00484868594367988,-0.0194863155921743,0.029183687479534,1.41139311354278,-0.000166183827107694
"recov3","21..27",3,0.181843272877719,0.366704074023194,-0.235853708043275,NA,NA,-16.754657136255,-0.00257469044370714
