"date","n_raw","n_qc","sif_mean","nirvr_mean","phif_mean","ndvi_mean","window"
2019-03-01,314,228,0.388075253999743,48.9417090969061,0.00785900462090991,0.55530629983292,"baseline"
2019-03-02,1842,281,0.437856637047491,62.78199095717,0.00692180737443816,0.563333846552172,"baseline"
2019-03-03,3483,251,0.33368443924353,52.7380357063095,0.00616633420816346,0.521201093255469,"baseline"
2019-03-04,4735,871,0.228054383438696,43.2246127791343,0.00515745618310621,0.488026811361383,"baseline"
2019-03-05,3032,1107,0.165506667363545,41.1908622048503,0.00386111773437201,0.471259165116094,"baseline"
2019-03-06,829,0,NA,NA,NA,NA,"baseline"
2019-03-07,873,10,0.445198307931423,46.4383625094217,0.00961154513380761,0.425583714948448,"baseline"
2019-03-08,2863,72,0.278150459919642,44.528331911219,0.00616332129943361,0.463368929064327,"pre7"
2019-03-09,4540,1326,0.208108369682933,40.066961266928,0.00506823943495938,0.423988777691084,"pre7"
2019-03-10,3551,718,0.244467018474695,42.2961682513539,0.00556220172997628,0.483426155358607,"pre7"
2019-03-11,1994,1154,0.224140888244147,41.612654634499,0.00525239185698798,0.503818416602338,"pre7"
2019-03-12,120,4,0.153445076197386,51.8854306267451,0.00293136888127914,0.494766177979638,"pre7"
2019-03-13,2322,2,0.359438896179199,45.7096932730517,0.00809971355566258,0.477994374486485,"pre7"
2019-03-14,3622,427,0.249609939133491,43.7349039546054,0.00567085668748429,0.471033476246783,"pre7"
2019-03-15,135,0,NA,NA,NA,NA,"acute"
2019-03-16,122,0,NA,NA,NA,NA,"acute"
2019-03-17,18,0,NA,NA,NA,NA,"acute"
2019-03-18,1486,0,NA,NA,NA,NA,"acute"
2019-03-19,2896,484,0.187702093954275,42.6224172293787,0.00424288941925617,0.490142602882055,"acute"
2019-03-20,4496,1027,0.20506368208641,37.4908435254703,0.00537317400756444,0.462252963957861,"acute"
2019-03-21,3010,1451,0.182468425572952,38.976278999694,0.00463697867323735,0.495453468301305,"acute"
2019-03-22,NA,0,NA,NA,NA,NA,"early"
2019-03-23,834,0,NA,NA,NA,NA,"early"
2019-03-24,2746,63,0.243446956299955,41.0992628938262,0.00590527153301163,0.435673756755942,"early"
2019-03-25,4333,2001,0.334366757289922,41.7876117444973,0.00792885089689828,0.484667201647011,"early"
2019-03-26,3753,2540,0.274257346998678,38.3075854582153,0.0071218960765942,0.490335708397144,"early"
2019-03-27,1998,9,0.302433802021874,42.7285259102759,0.00700055533385473,0.5289237671218,"early"
2019-03-28,127,0,NA,NA,NA,NA,"early"
2019-03-29,2205,34,0.247244569089483,39.9917734157537,0.00601619743849997,0.474744037943058,"recov2"
2019-03-30,4159,1424,0.212845385637695,36.6316588802862,0.00572560668244708,0.467865579383248,"recov2"
2019-03-31,4392,2584,0.239575807642309,35.1993879762404,0.0066941552754485,0.477473830556167,"recov2"
2019-04-01,2437,931,0.269621298307799,39.3321770025021,0.00682120359405223,0.509370882842366,"recov2"
2019-04-02,313,0,NA,NA,NA,NA,"recov2"
2019-04-03,0,0,NA,NA,NA,NA,"recov2"
2019-04-04,3435,1690,0.210972082177687,36.6502204917059,0.00557530056518928,0.455645013800553,"recov2"
2019-04-05,4642,4388,0.234766213342967,35.1774507983504,0.00651232016069976,0.472640331276391,"recov3"
2019-04-06,3038,1514,0.19618681638295,34.5657454475107,0.00555989801812901,0.478513656677595,"recov3"
2019-04-07,NA,0,NA,NA,NA,NA,"recov3"
2019-04-08,946,0,NA,NA,NA,NA,"recov3"
2019-04-09,1902,0,NA,NA,NA,NA,"recov3"
2019-04-10,4175,668,0.20684388006853,38.5943278784028,0.00516031719634179,0.495801736034811,"recov3"
2019-04-11,2998,472,0.114576788907239,33.0820972340534,0.00335016147969669,0.459778248134053,"recov3"
