"term","estimate","lo","hi","sig","R2","adjR2","n_pix"
"(Intercept)",0.015,-0.0303,0.051,"",0.211,0.145,53
"wind_stress",-0.075,-0.1428,-0.0165,"*",0.211,0.145,53
"ante_moist",-0.0369,-0.0836,4e-04,"",0.211,0.145,53
"acute_rain",0.0375,-0.0232,0.0884,"",0.211,0.145,53
"wind_stress:ante_moist",0.0181,-0.0321,0.055,"",0.211,0.145,53
