"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MOZAMBIQUE_CHALANE_2020","baseline","sif",119,0.06539,0,0.00877,48.7,-0.49427,0.54436
"MOZAMBIQUE_CHALANE_2020","baseline","nirvr",119,0.04751,0,-0.05302,50.4,-26.00152,28.54036
"MOZAMBIQUE_CHALANE_2020","baseline","phif",119,0.00133,0,-0.00038,53.8,-0.00507,0.01068
"MOZAMBIQUE_CHALANE_2020","pre7","sif",421,0.25362,0.18823,0.1876,18.1,-0.29997,0.71326
"MOZAMBIQUE_CHALANE_2020","pre7","nirvr",421,21.81361,21.7661,22.20973,6.9,-18.40488,57.28896
"MOZAMBIQUE_CHALANE_2020","pre7","phif",421,0.00035,-0.00098,-0.00108,68.6,-0.00861,0.00669
"MOZAMBIQUE_CHALANE_2020","acute","sif",40,0.09417,0.02878,0.01156,50,-0.73708,0.56063
"MOZAMBIQUE_CHALANE_2020","acute","nirvr",40,3.78753,3.74002,2.73578,40,-36.59216,34.97873
"MOZAMBIQUE_CHALANE_2020","acute","phif",40,0.00062,-0.00072,-0.00059,60,-0.01248,0.00466
