"term","estimate","lo","hi","sig","R2","adjR2","n_pix"
"(Intercept)",-0.1265,-0.1781,-0.074,"*",0.121,0.055,58
"wind_stress",0.0276,-0.0507,0.0939,"",0.121,0.055,58
"ante_moist",0.0904,-0.0146,0.2296,"",0.121,0.055,58
"acute_rain",-0.0379,-0.183,0.0582,"",0.121,0.055,58
"wind_stress:ante_moist",-0.0071,-0.1357,0.0391,"",0.121,0.055,58
