"rel","n","sif","sif_raw","nirvr","phif","phif_raw","clim_n","sif.clim","sif_raw.clim","nirvr.clim","phif.clim","phif_raw.clim","window","sif_anom","sif_raw_anom","nirvr_anom","phif_anom","phif_raw_anom","dcf"
-14,35,0.485273880617959,1.35743547252246,61.2318759012016,0.00795992158576261,0.0222786382894197,7,0.466440272345219,1.35431054683394,48.4658916335723,0.0097108907750723,0.0282451711859809,"baseline",0.0188336082727403,0.00312492568852152,12.7659842676293,-0.00175096918930969,-0.00596653289656113,0.357493148249762
-13,398,0.466393936273347,1.3497357928854,55.7042353693942,0.00816074558323479,0.0236393114802602,7,0.448159709555365,1.32910661935497,48.6854974191514,0.00929329885774211,0.0276097100240283,"baseline",0.0182342267179815,0.020629173530426,7.01873795024284,-0.00113255327450732,-0.00397039854376811,0.345544616014304
-12,337,0.416382692168392,1.2416439930679,54.8018906412726,0.00745477102314896,0.0222310268695175,6,0.449288788380445,1.34106557246697,48.2003396751858,0.00941933380805985,0.0281571123908116,"baseline",-0.0329060962120526,-0.0994215793990691,6.6015509660868,-0.00196456278491089,-0.00592608552129412,0.335347889163929
-11,28,0.462089914296355,1.4147910198995,52.6160808644527,0.0087092011258424,0.0266676559604886,6,0.449288788380445,1.34106557246697,48.2003396751858,0.00941933380805985,0.0281571123908116,"baseline",0.0128011259159098,0.0737254474325348,4.41574118926688,-0.00071013268221745,-0.00148945643032301,0.326613547723237
-10,0,NA,NA,NA,NA,NA,6,0.428863276730993,1.27068522848434,46.3892480844602,0.00932744460759583,0.0276857457419428,"baseline",NA,NA,NA,NA,NA,NA
-9,10,0.586468349397183,1.61151641607285,57.1261713181203,0.0101981969691089,0.0280324446755668,6,0.420008522213002,1.23601925354567,48.0352889038372,0.00867831931412862,0.0255385093244845,"baseline",0.16645982718418,0.375497162527174,9.09088241428304,0.00151987765498028,0.00249393535108232,0.363923285886448
-8,564,0.442590319417774,1.26330638719815,54.5288541574031,0.00793821291347389,0.022690927784181,7,0.419001693145526,1.23892789452506,47.7877667156494,0.00868322290451326,0.0256759420303785,"baseline",0.0235886262722481,0.0243784926730903,6.74108744175367,-0.000745009991039368,-0.00298501424619743,0.35034281778578
-7,735,0.368375022522472,1.09257660038757,51.3942876940519,0.0070305367762119,0.0208624116662378,7,0.442285356374807,1.32770389339868,45.8605346684238,0.0097714713908134,0.0293992001856244,NA,-0.0739103338523351,-0.235127293011115,5.53375302562809,-0.0027409346146015,-0.00853678851938661,0.337161735288674
-6,2,0.500076055526733,1.53149664402008,48.1867806452757,0.0109834006298953,0.0336644866381026,6,0.449981262465404,1.35702602111086,45.6115197036155,0.0100239287685518,0.0302932346349956,NA,0.0500947930613298,0.174470622909218,2.57526094166025,0.000959471861343472,0.00337125200310698,0.326527686155463
-5,0,NA,NA,NA,NA,NA,6,0.439723192842796,1.31665136727418,44.7169243398677,0.009966677320756,0.0299128092148561,NA,NA,NA,NA,NA,NA,NA
-4,0,NA,NA,NA,NA,NA,5,0.430354450021839,1.28112748217901,43.905493094425,0.00997616448631234,0.0298022295043634,NA,NA,NA,NA,NA,NA,NA
-3,557,0.405570632164472,1.15210033188067,49.5261780386105,0.00798801471955627,0.0227322306070441,6,0.427946194714377,1.27800739210405,44.1067882737871,0.00982553624700807,0.0294271535167145,NA,-0.0223755625499046,-0.125907060223378,5.41938976482332,-0.0018375215274518,-0.0066949229096704,0.352027181089709
-2,0,NA,NA,NA,NA,NA,8,0.441781310140717,1.31603058824757,45.2072886338243,0.00987142273722979,0.0295192078640587,NA,NA,NA,NA,NA,NA,NA
-1,50,0.322569282501936,0.978077217936516,42.9787287949296,0.00748974310203784,0.0227106660247133,7,0.44698094096436,1.3378121996278,45.3690605761396,0.00998578940790222,0.0300119380483689,NA,-0.124411658462425,-0.35973498169128,-2.39033178121,-0.00249604630586438,-0.00730127202365561,0.329799402937195
0,0,NA,NA,NA,NA,NA,7,0.445976831646035,1.32637911266243,44.5001316337975,0.0101509910085467,0.030299879740088,"acute",NA,NA,NA,NA,NA,NA
1,0,NA,NA,NA,NA,NA,7,0.439848877021827,1.30125720955746,44.0938000699798,0.0101041241766829,0.0300139789006492,"acute",NA,NA,NA,NA,NA,NA
2,0,NA,NA,NA,NA,NA,9,0.428553425656636,1.24867502573017,46.3700108061059,0.00918792518189568,0.0268094569083447,"acute",NA,NA,NA,NA,NA,NA
3,121,0.33652499434923,0.979672820230346,47.481603333927,0.00698307112607937,0.0203445728317851,12,0.443582319431476,1.29816937887602,46.9504338797267,0.00938704400536067,0.0275254767563581,"acute",-0.107057325082246,-0.318496558645675,0.531169454200338,-0.0024039728792813,-0.00718090392457308,0.34350753373979
4,0,NA,NA,NA,NA,NA,12,0.424188792943969,1.24672317387122,44.8916078168486,0.00928710748537196,0.0274079130991403,"acute",NA,NA,NA,NA,NA,NA
5,0,NA,NA,NA,NA,NA,13,0.424477243415038,1.25048149879308,45.1541657217729,0.0092413565607419,0.0273266518715633,"acute",NA,NA,NA,NA,NA,NA
6,0,NA,NA,NA,NA,NA,15,0.429027641461545,1.25941332141979,45.3725523032775,0.00930050205801411,0.0273826776792208,"acute",NA,NA,NA,NA,NA,NA
