"rel","n","sif","sif_raw","nirvr","phif","phif_raw","clim_n","sif.clim","sif_raw.clim","nirvr.clim","phif.clim","phif_raw.clim","window","sif_anom","sif_raw_anom","nirvr_anom","phif_anom","phif_raw_anom","dcf"
-14,0,NA,NA,NA,NA,NA,24,0.26411063452299,0.699273304138408,35.554005087667,0.006938609431799,0.0184400821622534,"baseline",NA,NA,NA,NA,NA,NA
-13,138,0.416119086070229,1.03788813597698,45.3327524139039,0.00891486332451086,0.0222411785207322,23,0.267692414075718,0.710591870699398,35.8913818945096,0.00698593592946074,0.0186135751039597,"baseline",0.148426671994512,0.327296265277583,9.44137051939433,0.00192892739505012,0.00362760341677252,0.400928646976516
-12,156,0.510390765869465,1.32340929131859,50.2616104733823,0.0100103471623556,0.0259659995166221,23,0.271352971850894,0.716458413387999,36.4661419495981,0.00695761088462103,0.0184409669002081,"baseline",0.239037794018571,0.606950877930595,13.7954685237841,0.00305273627773457,0.00752503261641393,0.385663580585059
-11,397,0.28487692301083,0.762127297754477,36.7341177737001,0.00770589616899186,0.0206184660368302,22,0.295923112804448,0.7819059521352,37.3876417600991,0.00751180837145347,0.0199205911937087,"baseline",-0.0110461897936175,-0.0197786543807229,-0.653523986399044,0.000194087797538391,0.000697874843121459,0.373791784981575
-10,125,0.221252672225237,0.609711232796311,37.5102803193152,0.00570322990183008,0.0157184700678311,22,0.292024699492734,0.775308507080177,37.4606609893439,0.00742923943518865,0.0197876291940781,"baseline",-0.0707720272674974,-0.165597274283866,0.0496193299713354,-0.00172600953335857,-0.00406915912624703,0.362881082591358
-9,36,0.417230905344089,1.16275381379657,41.4047331575045,0.0101257932794224,0.0282192078740972,21,0.296196379526499,0.78350625157512,37.911496095851,0.00745867090874815,0.0197955560931589,"baseline",0.12103452581759,0.379247562221453,3.4932370616535,0.00266712237067421,0.00842365178093827,0.358829960730694
-8,242,0.575273330706318,1.42896710773006,52.294442927498,0.0108856594840812,0.0270186003038565,21,0.302934429871767,0.80088713842647,38.3120430104598,0.00755889319917557,0.0200601129840603,"baseline",0.272338900834551,0.628079969303593,13.9823999170383,0.00332676628490562,0.00695848731979619,0.402579826781422
-7,870,0.62595088871774,1.61051470549328,55.4331312055665,0.0111895813915912,0.0288124864975293,21,0.31700789778203,0.838788810304398,38.7147535933033,0.0078299550310088,0.0207870154502978,NA,0.30894299093571,0.771725895188878,16.7183776122632,0.00335962636058238,0.00802547104723145,0.388665118413818
-6,1288,0.402839625667692,1.07786311044105,44.7531902037426,0.00891557698809487,0.0238554981888556,22,0.342527944093649,0.904955180201018,39.6795319343671,0.00826300946979545,0.0219178673421261,NA,0.0603116815740431,0.172907930240035,5.07365826937546,0.00065256751829942,0.00193763084672956,0.373739134186393
-5,48,0.414673331969728,1.13731041550636,44.1075355713059,0.00946050751156632,0.0259458357995258,23,0.353015184946535,0.93849127828555,39.960427788097,0.00845209905732297,0.0225507570275029,NA,0.0616581470231926,0.198819137220813,4.14710778320894,0.00100840845424335,0.00339507877202283,0.364608752646571
-4,0,NA,NA,NA,NA,NA,24,0.363375823999347,0.96565884914664,40.6719392104931,0.00854338281942545,0.0227937889193428,NA,NA,NA,NA,NA,NA,NA
-3,28,0.623690976628235,1.56324380636215,59.0136781275867,0.0106120928732964,0.0265885421804327,24,0.370811620938507,0.985137622109526,41.612126736839,0.00849953518677832,0.0226815143098567,NA,0.252879355689728,0.578106184252626,17.4015513907478,0.00211255768651811,0.00390702787057597,0.398972299835709
-2,766,0.623162375228095,1.60222565638529,56.4789331758445,0.0109033930337877,0.0280064546430939,23,0.371739615934247,0.990517179045511,41.466516565504,0.00857869258389484,0.0229624220333605,NA,0.251422759293848,0.611708477339777,15.0124166103404,0.00232470044989283,0.00504403260973346,0.388935461584097
-1,1570,0.485663086547261,1.27533910837867,52.4579278055971,0.00896830984095669,0.0236061887162064,23,0.376867266343141,1.00098315792793,42.2132355434715,0.00856024060555405,0.0228460780733265,NA,0.10879582020412,0.274355950450737,10.2446922621255,0.000408069235402641,0.000760110642879914,0.380810941463782
0,348,0.281035281667598,0.770979624893918,40.0863654963198,0.0067723423097489,0.0185657562240876,23,0.381302139978514,1.01404589962881,42.6038964595512,0.00857436155387416,0.0229247779630841,"acute",-0.100266858310916,-0.243066274734888,-2.51753096323139,-0.00180201924412526,-0.00435902173899654,0.364517131962167
1,167,0.472686609420591,1.3323260581422,46.2480393695142,0.0102313288431827,0.0288366274644899,22,0.383400142297122,1.02471618503374,42.9155600327538,0.00853718461170578,0.0229396203692534,"acute",0.0892864671234686,0.30760987310846,3.33247933676039,0.00169414423147692,0.0058970070952365,0.354782980136039
2,0,NA,NA,NA,NA,NA,13,0.421284103625523,1.12152790644585,47.4095398626602,0.00856478535775013,0.0229143286120844,"acute",NA,NA,NA,NA,NA,NA
3,0,NA,NA,NA,NA,NA,12,0.384826299074,1.03942735897815,44.7231216951272,0.00841107103537702,0.0228336645487321,"acute",NA,NA,NA,NA,NA,NA
4,0,NA,NA,NA,NA,NA,11,0.382455541761651,1.03028184331165,45.0000477893046,0.00838434357687696,0.0227313310857731,"acute",NA,NA,NA,NA,NA,NA
5,0,NA,NA,NA,NA,NA,10,0.402297510229546,1.07763741992813,46.4692203943953,0.00858238678601208,0.0231502662198936,"acute",NA,NA,NA,NA,NA,NA
6,0,NA,NA,NA,NA,NA,9,0.409525385682477,1.0887614265065,48.0563312862838,0.00851165448208489,0.0227882479437265,"acute",NA,NA,NA,NA,NA,NA
