"rel","n","sif","sif_raw","nirvr","phif","phif_raw","clim_n","sif.clim","sif_raw.clim","nirvr.clim","phif.clim","phif_raw.clim","window","sif_anom","sif_raw_anom","nirvr_anom","phif_anom","phif_raw_anom","dcf"
-14,1163,0.192123373343944,0.527585938588849,19.3650429448263,0.00965970440646408,0.0265195608059827,21,0.144637974794554,0.37829412801736,18.0495901036688,0.00736177784281176,0.0192805590761128,"baseline",0.0474853985493898,0.14929181057149,1.31545284115747,0.00229792656365232,0.00723900172986991,0.364155598721646
-13,52,0.398421216326264,0.937343051227239,28.1422502752147,0.0137748118260883,0.0325386034440034,22,0.149856196255027,0.391751175346844,18.2904243763276,0.00753120575478983,0.0197151225127873,"baseline",0.248565020071237,0.545591875880395,9.85182589888711,0.00624360607129843,0.0128234809312161,0.425053789863403
-12,554,0.368684613621215,0.89708944625349,32.0434383712274,0.0112068431902073,0.0272850189406899,23,0.149843181755958,0.392349841400218,18.7493555891712,0.00727942660753195,0.0190371025145991,"baseline",0.218841431865257,0.504739604853272,13.2940827820562,0.00392741658267535,0.00824791642609079,0.410978654537684
-11,2240,0.286716808421574,0.733537022629288,26.9500612441957,0.0102558399851741,0.0262240784289067,24,0.161691233975305,0.424428020843333,18.6593925081374,0.00812290134366638,0.0212927533820986,"baseline",0.125025574446269,0.309109001785955,8.29066873605835,0.00213293864150775,0.00493132504680812,0.390868899014623
-10,2645,0.240983486908293,0.638910629654335,23.4483606346173,0.00993987706788211,0.0263331605879853,26,0.167921064138081,0.444150511538465,18.7061945184812,0.00855218519875506,0.0226075950715074,"baseline",0.0730624227702123,0.19476011811587,4.74216611613606,0.00138769186912705,0.00372556551647788,0.377178709702593
-9,541,0.28138468734784,0.76890266302701,22.7508067746924,0.0121706813560839,0.0332340028418105,26,0.159085347360518,0.419282352033256,18.6441279044644,0.00804354212594537,0.0211769187143332,"baseline",0.122299339987322,0.349620310993754,4.10667887022798,0.00412713923013849,0.0120570841274773,0.365956187796368
-8,282,0.303064759601079,0.832922574089748,25.5618087917201,0.0121365072906069,0.0335594839088035,27,0.163168750209174,0.428687880723322,19.1295503974036,0.00794482020465124,0.0208799377615118,"baseline",0.139896009391905,0.404234693366425,6.43225839431654,0.00419168708595568,0.0126795461472917,0.363857060702528
-7,545,0.366812204514254,0.879719305777102,34.1351035541364,0.0104002480259684,0.0249619049620214,27,0.166943555275876,0.438687533924449,19.4604026195801,0.00787162114686051,0.0206776418563278,NA,0.199868649238378,0.441031771852653,14.6747009345564,0.00252862687910784,0.00428426310569364,0.416965050221593
-6,1469,0.361495861986023,0.910823730586719,35.2734766942718,0.00982391079989295,0.0247750721825542,27,0.174348727948921,0.457935396215249,19.5873866690353,0.00833249051254841,0.0219471861448603,NA,0.187147134037102,0.45288833437147,15.6860900252365,0.00149142028734454,0.00282788603769385,0.396888936735499
-5,4753,0.272239992357082,0.711317649503052,25.3407721403676,0.0103188320943021,0.0269556254069658,27,0.189876454046445,0.502664599790049,20.2253779131239,0.00888166146069463,0.0235784048085943,NA,0.0823635383106376,0.208653049713003,5.11539422724368,0.00143717063360742,0.00337722059837151,0.38272632845154
