"rel","n","sif","sif_raw","nirvr","phif","phif_raw","clim_n","sif.clim","sif_raw.clim","nirvr.clim","phif.clim","phif_raw.clim","window","sif_anom","sif_raw_anom","nirvr_anom","phif_anom","phif_raw_anom","dcf"
-14,4,0.144663755781949,0.397224012296647,25.0568945725543,0.00749663779065222,0.0205866761828677,20,0.412568296849914,1.09623508592158,36.9975580173433,0.0112132697127886,0.0297008272599797,"baseline",-0.267904541067965,-0.699011073624935,-11.9406634447889,-0.00371663192213634,-0.009114151077112,0.364186834893339
-13,1,0.498279690742493,1.40043199062347,24.7325252654455,0.020146737358787,0.0566230894578346,20,0.42798404766083,1.13747396156847,38.6324103813184,0.0112558013869447,0.029804535673789,"baseline",0.0702956430816629,0.262958029055008,-13.8998851158729,0.00889093597184231,0.0268185537840456,0.355804276165284
-12,24,0.820999351640542,2.01787063727776,61.0999895126476,0.0137270362198101,0.0336730703992558,20,0.461264853022357,1.22725302213823,41.0142820166141,0.0114779747918936,0.0303898533806089,"baseline",0.359734498618186,0.790617615139529,20.0857074960335,0.00224906142791655,0.00328321701864697,0.406864214421656
-11,97,0.836946300010091,2.13490388780525,51.6750611334548,0.0160965261395806,0.0410497560108054,18,0.482693777567637,1.28306547497593,43.5111560809308,0.0113664278802345,0.0300488684282098,"baseline",0.354252522442454,0.851838412829323,8.16390505252403,0.00473009825934605,0.0110008875825956,0.39202996668412
-10,59,0.586604705553944,1.55750160146568,49.171343219544,0.0118657457936874,0.0314951227022868,19,0.493423176833675,1.30947911829683,44.5047406244425,0.0113795394677245,0.0300399420275642,"baseline",0.093181528720269,0.248022483168844,4.66660259510145,0.000486206325962855,0.00145518067472261,0.376631847442033
-9,294,0.575578450313991,1.58487374974149,50.7912954234202,0.0115842334539214,0.0318704635063462,19,0.510260512231769,1.35758531615019,46.5830688202537,0.0110199454891996,0.0292711105570459,"baseline",0.0653179380822219,0.227288433591293,4.20822660316652,0.000564287964721822,0.00259935294930025,0.363169905746673
-8,57,0.61657796826279,1.73171282755701,52.1466888680784,0.0119521839840405,0.033564820989735,19,0.512579119793755,1.35890215500641,48.5791138622996,0.0105217304415674,0.0278555138878187,"baseline",0.103998848469035,0.3728106725506,3.56757500577874,0.00143045354247313,0.0057093071019163,0.356050933186548
-7,540,0.749254001097547,1.84692505896091,72.2924957363267,0.0103069037014623,0.0253927964048887,20,0.544545506651385,1.44312480719824,50.6210684735043,0.0107794794493959,0.0285749169131529,NA,0.204708494446161,0.403800251762672,21.6714272628224,-0.000472575747933621,-0.00318212050826418,0.405676449871268
-6,268,0.806103550509286,2.05830293916055,66.3801933175082,0.0122853915643181,0.0313360511217326,21,0.524535081564001,1.39444340986783,49.3794147707718,0.0107038135066176,0.0284658730349924,NA,0.281568468945285,0.663859529292718,17.0007785467364,0.00158157805770049,0.00287017808674025,0.391635038347681
-5,551,0.613178221552807,1.62752997191004,54.0841510042023,0.0112782661664139,0.0299188393181411,21,0.519706868552432,1.38171933099443,49.0118596689316,0.0106395128216289,0.0282943582035543,NA,0.0934713530003752,0.245810640915611,5.07229133527063,0.000638753344784988,0.00162448111458677,0.376753873744759
-4,0,NA,NA,NA,NA,NA,22,0.541503623878429,1.44451345113258,50.0463850097839,0.0108331842600371,0.0289677362287082,NA,NA,NA,NA,NA,NA,NA
-3,40,0.506680050119758,1.41736641675234,44.3841197059485,0.011775984770634,0.0329221331029388,21,0.523266332396497,1.40067147309363,49.3032905148153,0.0105554643347011,0.0283670876246065,NA,-0.0165862822767397,0.0166949436587096,-4.91917080886685,0.00122052043593288,0.00455504547833229,0.357479931887149
-2,19,0.80871131545619,1.97582499604476,81.7875476887663,0.00990419148489725,0.0242016983881932,21,0.528913038175319,1.41897548604296,49.7184780357868,0.0105852808100612,0.0285037864331218,NA,0.279798277280871,0.556849510001802,32.0690696529795,-0.000681089325163902,-0.0043020880449286,0.409303109878193
-1,218,0.983519693306827,2.52521407221435,86.3000344586609,0.0114096291625112,0.0292988705424468,20,0.542122361063518,1.45783362494153,51.0251033026615,0.0105837365314154,0.028563605027558,NA,0.441397332243308,1.06738044727283,35.2749311559994,0.000825892631095827,0.000735265514888804,0.389479729314347
0,5,0.471076035499573,1.23156886100769,30.7145026173884,0.0156766336170497,0.0409849026454936,19,0.538120545427526,1.44763739050888,51.2594273714228,0.0104312286051724,0.0281595541628276,"acute",-0.067044509927953,-0.216068529501187,-20.5449247540344,0.00524540501187734,0.0128253484826659,0.382500768259219
1,165,0.682147153682926,1.85596956730288,56.6784602096542,0.0119193196278762,0.0324059956127977,18,0.550495182504711,1.48698002601773,51.4021155106862,0.0106626742588078,0.0289130550234418,"acute",0.131651971178214,0.368989541285141,5.27634469896806,0.00125664536906848,0.00349294058935593,0.367542208504115
2,0,NA,NA,NA,NA,NA,10,0.685046953686568,1.81892136507873,60.7844176941611,0.011515975793972,0.0307716884617684,"acute",NA,NA,NA,NA,NA,NA
3,0,NA,NA,NA,NA,NA,9,0.688563089028795,1.85041753362245,60.0935191910183,0.0116211977543218,0.03128433376101,"acute",NA,NA,NA,NA,NA,NA
4,0,NA,NA,NA,NA,NA,9,0.641083848036048,1.74383613089826,55.3878774693506,0.0117618156752216,0.0319929867855421,"acute",NA,NA,NA,NA,NA,NA
5,0,NA,NA,NA,NA,NA,7,0.624810305097337,1.72089770291669,55.9582525412356,0.0111193283680887,0.0306766098184382,"acute",NA,NA,NA,NA,NA,NA
6,0,NA,NA,NA,NA,NA,6,0.615411589150445,1.68455631520071,53.5438871942562,0.0114297875741747,0.0312765587973824,"acute",NA,NA,NA,NA,NA,NA
