"window","n_days","pct_naive","pct_corrected"
"baseline",6,0,0
"pre7",7,-26.3,-25.2
"acute",3,-42.4,-37.8
"early",4,-13.3,9.3
"recov2",5,-29.1,3.2
"recov3",4,-43.5,-23.1
