"cstart","dSIF","gpp_ev","gpp_clim","dGPP"
57,-0.0527197840932124,673.127110571883,687.776475234833,-14.6493646629501
65,-0.108583095149556,678.40234386779,787.765615586053,-109.363271718263
73,-0.161970220857942,611.006680040939,769.767706276862,-158.761026235923
81,0.00110963803830536,678.844805230511,707.464414207474,-28.6196089769628
89,-0.0566506178407006,642.071791815442,680.378279638173,-38.3064878227312
97,-0.145636402400573,551.472356585765,600.823036858477,-49.3506802727122
