"window","days","clim_n","sif","sif_clim","sif_anom","lo","hi","nirvr_anom","phif_anom"
"baseline",0,13,NA,0.272087327249518,NA,NA,NA,NA,NA
"pre7",0,11,NA,0.26414156184216,NA,NA,NA,NA,NA
"acute",0,14,NA,0.284663633799512,NA,NA,NA,NA,NA
"early",0,13,NA,0.366198966948917,NA,NA,NA,NA,NA
"recov2",0,12,NA,0.345079739845511,NA,NA,NA,NA,NA
"recov3",0,11,NA,0.391285776330588,NA,NA,NA,NA,NA
