"window","days","clim_n","sif_anom","nirvr_anom","phif_anom"
"baseline",7,25,-0.0675057118583177,-5.2164260366467,-0.000623576528333061
"pre7",7,25,-0.0106968043356035,0.155414271680721,-0.000520471837892025
"acute",5,23,-0.0985607939405727,-2.97570012329211,-0.00358142425943787
"early",0,10,NA,NA,NA
"recov2",0,9,NA,NA,NA
"recov3",0,9,NA,NA,NA
