"window","n_days","pct_naive","pct_corrected"
"baseline",6,0,0
"pre7",4,-16.2,-17.5
"acute",1,-29.4,-32.2
"early",4,-10.2,-4.1
"recov2",3,-19.3,-6.4
"recov3",3,-20.2,-3.5
