"event","window","signal","n_cells","raw_mean","demeaned_mean","demeaned_median","pct_suppressed","min","max"
"MADAGASCAR_CHALANE_2020","baseline","sif",1020,0.04293,0,0.00936,47.4,-0.67925,0.58611
"MADAGASCAR_CHALANE_2020","baseline","nirvr",1020,2.03887,0,0.57111,44.4,-39.57592,35.95496
"MADAGASCAR_CHALANE_2020","baseline","phif",1020,9e-04,0,1e-05,49.9,-0.02003,0.02172
"MADAGASCAR_CHALANE_2020","pre7","sif",962,-0.00042,-0.04335,-0.0595,67.8,-0.60823,0.80072
"MADAGASCAR_CHALANE_2020","pre7","nirvr",962,-1.07153,-3.1104,-4.1809,79.5,-36.30017,38.70909
"MADAGASCAR_CHALANE_2020","pre7","phif",962,2e-05,-0.00088,-0.00057,57.6,-0.02104,0.01156
"MADAGASCAR_CHALANE_2020","acute","sif",515,0.0682,0.02527,0.01482,45.2,-0.34983,0.67677
"MADAGASCAR_CHALANE_2020","acute","nirvr",515,8.90405,6.86517,6.46903,10.7,-17.5972,45.7936
"MADAGASCAR_CHALANE_2020","acute","phif",515,-0.00095,-0.00185,-0.00196,67.4,-0.01474,0.01551
