"term","estimate","lo","hi","sig","R2","adjR2","n_pix"
"(Intercept)",0.0142,-0.005,0.0355,"",0.202,0.179,147
"wind_stress",0.0485,0.0195,0.0772,"*",0.202,0.179,147
"ante_moist",-0.0667,-0.1041,-0.0281,"*",0.202,0.179,147
"acute_rain",0.05,0.0087,0.0938,"*",0.202,0.179,147
"wind_stress:ante_moist",-0.0637,-0.1119,-0.0168,"*",0.202,0.179,147
