"window","days","clim_n","sif_anom","nirvr_anom","phif_anom"
"baseline",6,26,0.101317452522891,2.20828293598794,0.00253013426474341
"pre7",6,25,0.102344517407029,6.93905440602321,0.0017232179425242
"acute",1,11,0.0815514467127316,4.38072106818911,0.00141535442647177
"early",0,9,NA,NA,NA
"recov2",0,9,NA,NA,NA
"recov3",0,9,NA,NA,NA
