"window","days","clim_n","sif","sif_clim","sif_anom","lo","hi","nirvr_anom","phif_anom"
"baseline",6,4,0.333062614837405,0.372807656352815,-0.0369717057204684,-0.108427172950709,0.0261481544818134,-2.37640141757345,-0.000511683079043767
"pre7",7,6,0.245337235404499,0.376265841224522,-0.130928605820023,-0.172048529667397,-0.0830204134375053,-7.45929147561761,-0.00164308555290744
"acute",3,7,0.191744733871212,0.375182153024112,-0.177743664960584,-0.189979998674275,-0.162944704037671,-7.31640853856557,-0.00283962764751236
"early",4,4,0.288626215652607,0.311645941137116,-0.00229267833045482,-0.0944948186070163,0.0591493049513797,-0.55311371455042,0.000236838562052544
"recov2",5,5,0.236051828570994,0.271893814300662,-0.0248934462385775,-0.0639763622687459,0.00433806325964475,0.0967101531817605,-0.000536887075206217
"recov3",4,6,0.188093424675421,0.326104965158802,-0.122997594284779,-0.163585329064934,-0.0889789041579898,-3.72140293148416,-0.00256056626663339
