"window","RR_sif","RR_nirvr","RR_phif"
"acute",0.781555777927772,0.896852713669225,0.858289925412776
"early",1.17644684133143,0.92586705223642,1.26261707015554
"recov2",0.962152476291684,0.84860661755319,1.11400188084839
"recov3",0.766672960854487,0.798763926554953,0.929586885259706
