"window","days","clim_n","sif_anom","nirvr_anom","phif_anom"
"baseline",7,19,0.111268062620838,2.12163831313463,0.00209063022430377
"pre7",6,21,0.21405960727321,17.6948878574902,0.000518846566069444
"acute",2,11,0.0323037306251307,-7.63429002753316,0.00325102519047291
"early",0,7,NA,NA,NA
"recov2",0,7,NA,NA,NA
"recov3",0,7,NA,NA,NA
